127.0.0.1, 2013-07-10 11:38:31, GET, /codespert/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000526
127.0.0.1, 2013-07-10 11:38:31, GET, /codespert/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000628
127.0.0.1, 2013-07-10 11:38:31, GET, /codespert/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000553
127.0.0.1, 2013-07-10 11:38:31, GET, /codespert/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000519
127.0.0.1, 2013-07-10 11:38:31, GET, /codespert/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000513
127.0.0.1, 2013-07-10 11:38:31, GET, /codespert/static/js/share.js, HTTP/1.1, 200, 0.000435
127.0.0.1, 2013-07-10 11:38:32, GET, /codespert/static/images/twitter.png, HTTP/1.1, 200, 0.000488
127.0.0.1, 2013-07-10 11:38:32, GET, /codespert/static/images/facebook.png, HTTP/1.1, 200, 0.000511
127.0.0.1, 2013-07-10 11:38:32, GET, /codespert/static/images/gplus-32.png, HTTP/1.1, 200, 0.000544
127.0.0.1, 2013-07-10 11:38:32, GET, /codespert/static/images/favicon.ico, HTTP/1.1, 200, 0.000521
127.0.0.1, 2013-07-10 11:40:41, POST, /admin/default/create_file, HTTP/1.1, 303, 0.042710
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/default/edit/codespert/views/trainings.html, HTTP/1.1, 200, 0.067005
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000608
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000549
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000543
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/mode/clike/clike.js, HTTP/1.1, 200, 0.000547
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000552
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000493
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000493
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000535
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000529
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/lib/util/search.js, HTTP/1.1, 200, 0.000553
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/lib/util/searchcursor.js, HTTP/1.1, 200, 0.000552
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/lib/util/dialog.js, HTTP/1.1, 200, 0.000509
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/lib/util/dialog.css, HTTP/1.1, 200, 0.000562
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000486
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000519
127.0.0.1, 2013-07-10 11:40:41, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000507
127.0.0.1, 2013-07-10 11:40:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
